16:56:48	12 derive dump0 (from the forms' ch13_dump0.py)	1	1
16:56:59	12 derive dump0 (from the forms' ch13_dump0.py), second	0	0
16:56:59	12 dump0 (the measurements' first pass)	12	0
17:02:16	12 the spine split by piska (96's tail folded)	0	1
17:02:41	12 the spine split by piska (96's tail folded), second	0	0
17:07:56	12 derive measure1 (the helpers and the register block from the forms' ch13_measure1.py)	0	0
17:07:56	12 measure1 (the second measurement pass)	19	0
17:14:55	12 derive ink (the helpers from the forms' ch13_ink.py)	0	0
17:14:55	12 ink (the first typed pass, assert_driver)	18	0
17:16:26	12 ink (the second typed pass — the instrument's shapes and three lists retyped from the print)	18	0
17:17:14	12 ink (the third typed pass — two facts retyped from the instrument's print)	18	0
17:19:47	12 design (the map's section)	0	0
17:25:12	12 rows, the first half (96:9-12, 97-103; the three outside; Onkelos 14:1-20) — the import check	18	0
17:31:06	12 rows, the second half (104-110; Onkelos 14:21-29) — the import check	18	1
17:32:37	12 rows, the second half — the import check, second (one cut retyped)	18	0
17:32:55	12 the clean compaction point (#204, after the rows, before the ledger)	0	1
17:33:22	12 the clean compaction point (#204), second — the page trimmed under its cap	0	1
17:33:43	12 the clean compaction point (#204), third — the page under its cap	0	1
17:33:59	12 the clean compaction point (#204), fourth — the page under its cap	0	0
18:38:54	12 T derive ink (body_c — the display patch predicted from the G print)	0	0
18:38:54	12 T ink (the fourth pass — the patch block)	18	0
18:47:13	12 T ledger (write_ch14_ledger.py — coverage computed, the prior reads marked)	19	0
18:47:32	12 T lint (the ledger)	0	0
18:47:32	12 T derive the patch script (from the forms' ch13_patch_overrides.py)	0	0
18:47:32	12 T derive the shells (chain, fold, gates)	0	0
18:48:18	12 T the display patch (ch14_patch_overrides.py — by gloss 49, by reference 131)	18	0
18:48:36	12 T ink (the fifth pass — PATCHED)	19	0
18:51:29	12 T derive ink (the counting asserts made patch-aware)	0	0
18:51:29	12 T ink (the sixth pass — PATCHED, green)	18	0
18:55:25	12 T the manifest (seven claims DV14-01..07)	0	0
18:55:25	12 T verify_claims	0	0
18:55:25	12 T the labels census (--strict)	0	0
18:57:52	12 T the chain (ch14_gates.sh in the background — the seat, verify_text, the ritual, the fold, build_world, the journal gate, the register gate --strict, large_letter, the home gate)	489	0
19:06:20	12 T the records writer --check (every number parsed from its print)	0	1
19:06:57	12 T the records writer --check, second (the page trimmed, the chain note typed)	1	0
19:06:58	12 T the records from the sheet in one call (write_ch14_records.py)	4	0
